id,material_id,ori_title,creative_id_image,creative_id_brand,creative_id_price,creative_id_promotion,level_one_category_name,is_white_image,representative_group,representative_group_cn,expected_best_image_route,selection_reason,source_table
65447,null,【政府补贴至高20%】2024新款Apple/苹果MacBook Pro14英寸M4芯片笔记本电脑（A3112）,https://img.alicdn.com/bao/uploaded/O1CN01J4wJ3D1UNLCO60uQv_!!6000000002505-0-yinhe.jpg,Apple/苹果,12649,,笔记本电脑,1,utilitarian_symbolic,实用+symbolic,symbolic,生产力工具，同时表达专业、创造力、高端工作身份。,raw_catalog
65255,null,【国补专享多地可用】Sony/索尼 Alpha7 IV A7M4全画幅微单相机,https://img.alicdn.com/bao/uploaded/O1CN01SknnvJ23wcF63I3QH_!!6000000007320-0-yinhe.jpg,Sony/索尼,15047,,数码相机/单反相机/摄像机,1,utilitarian_symbolic,实用+symbolic,symbolic,摄影工具，同时标记创作者、专业影像和审美能力。,raw_catalog
13915,110046,【政府补贴15%】大疆 DJI Mavic 3 Pro 御3三摄旗舰航拍机  超稳图传高清专业大师版航拍器 大疆无人机,https://img.alicdn.com/bao/uploaded/O1CN01zhxyaX24mpOGm3qmS_!!6000000007434-0-yinhe.jpg,DJI/大疆,15919,,智能设备,1,utilitarian_symbolic,实用+symbolic,symbolic,航拍工具，同时表达技术型创作者/专业玩家身份。,raw_catalog
27101,110046,【新品上市】百年灵航空计时双时区自动机械男女款41冰蓝瑞士手表,https://img.alicdn.com/bao/uploaded/O1CN01nrt6nI1a1i4ygscq6_!!6000000003270-0-yinhe.jpg,Breitling/百年灵,43550,满20000减50,手表,1,hedonic_symbolic,享乐+symbolic,symbolic,审美和拥有体验强，但主读法是身份、成就、品味。,raw_catalog
1557450,102386,【12期免息】FERRAGAMO菲拉格慕女Hug Soft羽毛斜挎包抱抱包小号,https://img.alicdn.com/bao/uploaded/O1CN015vzi6O1rgn9llczsJ_!!6000000005661-0-yinhe.jpg,FERRAGAMO/菲拉格慕,28500,,箱包皮具/热销女包/男包,1,hedonic_symbolic,享乐+symbolic,symbolic,时尚享乐属性强，同时表达阶层感、品味和生活方式。,raw_catalog
337311,"6,102,386",[经典款]JIMMY CHOO/SAEDA 100 女士水晶链饰露跟高跟鞋婚鞋JC,https://img.alicdn.com/bao/uploaded/O1CN01c3YmQA1cA4TRcArYW_!!6000000003559-2-yinhe.png,Jimmy Choo,16400,,女鞋,1,hedonic_symbolic,享乐+symbolic,symbolic,审美/场合体验强，同时具有明显身份和风格信号。,raw_catalog
497385,102386,[129W升级款]海尔超薄洗烘套装10kg家用滚筒洗衣机热泵烘干机519W,https://img.alicdn.com/bao/uploaded/O1CN01aCsE1P1CKtzE4wxQ2_!!6000000000063-0-yinhe.jpg,Haier/海尔,3899,补贴300元,大家电,1,strict_utilitarian_no_symbolic,实用无symbolic,functional,洗净、烘干、容量和家务效率，主读法是任务完成。,raw_catalog
1563246,102386,EKO卫生间智能垃圾桶感应式家用厕所电动客厅夹缝款垃圾桶太空堡,https://img.alicdn.com/bao/uploaded/O1CN01P4aU231CYBPbyr3YP_!!6000000000092-0-yinhe.jpg,EKO,288,满300减18,家庭/个人清洁工具,1,strict_utilitarian_no_symbolic,实用无symbolic,functional,自动开合、收纳清洁和卫生便利，身份/享乐意义弱。,raw_catalog
96990,null,东芝进口白色微波炉家用电烤箱微蒸烤炸一体机台式水波炉SD80旗舰,https://img.alicdn.com/bao/uploaded/O1CN01TaKsbS1oGHFnZ8LF7_!!6000000005197-0-yinhe.jpg,Toshiba/东芝,2299,1件减1100元,厨房电器,1,strict_utilitarian_no_symbolic,实用无symbolic,functional,加热、烹饪和备餐效率，核心是厨房功能。,raw_catalog
1235048,104460,觅菓觅果临安山核桃仁新货原味罐装孕妇儿童每日坚果,https://img.alicdn.com/bao/uploaded/O1CN01jG1eDw1c2k34vrOho_!!6000000003543-0-yinhe.jpg,觅菓,239,,零食/坚果/特产,1,hedonic_no_symbolic,享乐无symbolic,experiential,坚果口味、咀嚼质地和零食愉悦。,raw_catalog
1563474,102386,每日黑巧鲜萃黑巧吨吨装巧克力休闲零食纯可可脂教师节送礼大礼包,https://img.alicdn.com/bao/uploaded/O1CN01EVJp0u1KGnFop5fol_!!6000000001137-0-yinhe.jpg,每日黑巧,219,下单立减40元,零食/坚果/特产,1,hedonic_no_symbolic,享乐无symbolic,experiential,巧克力风味、苦甜口感和即时享受。,raw_catalog
1236839,104460,八喜冰淇淋经典六合一香草草莓巧克力朗姆绿茶芒果,https://img.alicdn.com/bao/uploaded/O1CN01ZSANiH1Mnt1BDiCeq_!!6000000001480-0-yinhe.jpg,八喜,66.8,,水产肉类/新鲜蔬果/熟食,1,hedonic_no_symbolic,享乐无symbolic,experiential,冷感、甜味、多口味和感官满足。,raw_catalog
